<Register>;<Description>;<min>;<max>;<divisor>;<comma>;<access>;<pcb>
1060;3-Wegeventil Heizung;0;10000;10;1;R;LU
1062;3-Wegeventil Sole;0;10000;10;1;R;LU
248;Abluft;-28000;55000;100;1;R;LU
256;Abluft Feuchte;500;100000;100;1;R;LU
5328;Absenkung der Lüfterstufe 1;30;70;1;0;R/W;LU
1066;Aktive Lüfterstufe;0;4;1;0;R;LU
1292;Anforderung der Ventilatoren durch Wärmepumpe;0;1;1;0;R;LU
1336;Anforderung der Ventilatoren durch Zonenregelung;0;1;1;0;R;LU
1050;Anforderung: Abtauen;0;1;1;0;R;LU
1324;Anforderung: Außenluftklappe und Fortluftklappe;0;1;1;0;R;LU
1216;Anforderung: Bypassklappe;0;1;1;0;R;LU
1214;Anforderung: Durchgangsventil Sole Fortluft;0;1;1;0;R;LU
228;Anforderung: LST3_EXT;0;1;1;0;R;LU
1198;Anforderung: Sole für Außenlufterwärmung;0;1;1;0;R;LU
1302;Anforderung: Sole für Frostfreihaltung (Bypass);0;1;1;0;R;LU
1320;Anforderung: Sole Kühlung;0;1;1;0;R;LU
1306;Anforderung: Zuluft Heizen;0;1;1;0;R;LU
1308;Anforderung: Zuluft Kühlen;0;1;1;0;R;LU
202;Temperatur Außenluft;-28000;100000;100;1;R;LU
5304;Außenluftfühler vorhanden?;0;1;1;0;R;LU
5002;Betriebsart;0;5;1;0;R/W;LU
902;Betriebsstunden: Abluftventilator;0;600000000;60;0;R;LU
932;Betriebsstunden: Bypassklappe;0;600000000;60;0;R;LU
956;Betriebsstunden: Durchgangsventil Sole Fortluft;0;600000000;60;0;R;LU
928;Betriebsstunden: Feinstaubfilter;0;600000000;60;0;R;LU
940;Betriebsstunden: Frostschutzeinrichtung;0;600000000;60;0;R;LU
926;Betriebsstunden: Grobstaubfilter;0;600000000;60;0;R;LU
938;Betriebsstunden: Heizung;0;600000000;60;0;R;LU
972;Betriebsstunden: Klappe Außenluft / Fortluft;0;600000000;60;0;R;LU
968;Betriebsstunden: Kühlung;0;600000000;60;0;R;LU
962;Betriebsstunden: Lüfterstufe 0;0;600000000;60;0;R;LU
904;Betriebsstunden: Lüfterstufe 1;0;600000000;60;0;R;LU
906;Betriebsstunden: Lüfterstufe 2;0;600000000;60;0;R;LU
908;Betriebsstunden: Lüfterstufe 3;0;600000000;60;0;R;LU
934;Betriebsstunden: Sole-Kreis;0;600000000;60;0;R;LU
970;Betriebsstunden: Sole-Kreis Außenluft;0;600000000;60;0;R;LU
900;Betriebsstunden: Zuluftventilator;0;600000000;60;0;R;LU
838;Brandmeldealarm;0;1;1;0;R;LU
5068;Brandmeldeanlage vorhanden?;0;1;1;0;R;LU
1058;Bypass Abluft;0;10000;10;1;R;LU
1310;Bypass Abtaudauer pro Stunde;0;3600;1;0;R;LU
1056;Bypass Zuluft;0;10000;10;1;R;LU
5456;Bypass: Verlängerung der Abtauzeit;1000;5000;100;1;R;LU
230;CO2;100;1950;1;0;R;LU
1048;CO2-Messung;0;1;1;0;R/W;LU
5054;CO2-Sensor vorhanden?;0;1;1;0;R;LU
5210;Datum;0;99999999;1;0;R/W;LU
220;Differenzdruck Abluft;5000;500000;1000;0;R;LU
218;Differenzdruck Zuluft;5000;500000;1000;0;R;LU
1094;Drehzahl Abluftventilator;0;10000;100;0;R;LU
5020;Drehzahl Abluftventilator;0;10000;100;0;R/W;LU
5018;Drehzahl Zuluftventilator;0;10000;100;0;R/W;LU
1092;Drehzahl Zuluftventilator;0;10000;100;0;R;LU
5330;Erhöhung der Lüfterstufe 3;30;100;1;0;R/W;LU
5034;Feinstaubfilter vorhanden?;0;1;1;0;R;LU
7004;Feinstaubfilter wechseln!;0;1;1;0;R;LU
5032;Feinstaubfilter: Standzeit;131400;1051200;60;0;R;LU
208;Fortluft Plattenwärmetauscher;-28000;100000;100;1;R;LU
5426;Fortluftoption;0;1;1;0;R;LU
5428;Fortluft-Solltemperatur für Frostfreihaltung;3000;10000;100;1;R/W;LU
5440;Frostschutz Zuluft-Heizregister;5000;15000;100;1;R/W;LU
5000;Gerätetyp;1;91;1;0;R;LU
946;Gesamt beförderte Kubikmeter;0;600000000;1;0;R;LU
960;Gesamt beförderte Luftmenge seit Filterwechsel;0;600000000;1;0;R;LU
5360;Grenztemperatur für Vereisungsschutz;-40000;-8000;1000;0;R/W;LU
5154;Grobstaubfilter vorhanden?;0;1;1;0;R;LU
7002;Grobstaubfilter wechseln!;0;1;1;0;R;LU
5164;Grobstaubfilter: Betriebsart Filterüberwachung;1;3;1;0;R;LU
5166;Grobstaubfilter: Maximales Fördervolumen;100000;1000000;1;0;R;LU
5030;Grobstaubfilter: Standzeit;131400;1051200;60;0;R;LU
1186;Ist-Drehzahl Abluftventilator;0;3500;1;0;R;LU
1184;Ist-Drehzahl Zuluftventilator;0;3500;1;0;R;LU
238;Kontakt: Brandmeldealarm;0;1;1;0;R;LU
5192;Kühlung vorhanden?;0;1;1;0;R;LU
5270;Maximal zulässige Drehzahl Abluftventilator;1500;6000;1;0;R/W;LU
5268;Maximal zulässige Drehzahl Zuluftventilator;1500;6000;1;0;R/W;LU
5438;Messbereich Drucksensor;0;2;1;0;R;LU
200;Temperatur Raum;-28000;100000;100;1;R/W;LU
252;Relaiskontakt: EXT (LU);0;1;1;0;R;LU
146;Relaiskontakt: Summenstörung;0;1;1;0;R;LU
1318;Status Bypass-Abtauung;0;4;1;0;R;LU
826;Störung: Abluftventilator;0;1;1;0;R;LU
832;Störung: CO2-Sensor;0;1;1;0;R;LU
836;Störung: Druckdifferenzregelung Abluft;0;1;1;0;R;LU
834;Störung: Druckdifferenzregelung Zuluft;0;1;1;0;R;LU
854;Störung: Druckverlust Abluft zu groß;0;1;1;0;R;LU
852;Störung: Druckverlust Zuluft zu groß;0;1;1;0;R;LU
858;Störung: Feuchtigkeitsfühler Abluft;0;1;1;0;R;LU
7502;Störung: Frostgefahr;0;1;1;0;R;LU
856;Störung: Teilnehmer nicht erreichbar!;0;1;1;0;R;LU
860;Störung: Temperaturfühler Abluft;0;1;1;0;R;LU
806;Störung: Temperaturfühler Außenluft;0;1;1;0;R;LU
7518;Störung: Temperaturfühler Fortluft;0;1;1;0;R;LU
814;Störung: Temperaturfühler Fortluft Plattenwärmetauscher;0;1;1;0;R;LU
804;Störung: Temperaturfühler Raum;0;1;1;0;R;LU
7504;Störung: Temperaturfühler Sole Außenluft;0;1;1;0;R;LU
862;Störung: Temperaturfühler Zuluft;0;1;1;0;R;LU
840;Störung: Wert nicht zulässig;0;3;1;0;R;LU
824;Störung: Zuluftventilator;0;1;1;0;R;LU
800;Summenstörung;0;2147483647;1;0;R;LU
7500;Summenstörung 2;0;2147483647;1;0;R;LU
1156;SW-Version;0;1000000;1;0;R;LU
1174;Tag;1;7;1;0;R;LU
1266;Taupunkt Ablufttemperatur;-10000;30000;100;1;R;LU
5452;Temperatur Außenluft: Bypass Kühlung Aus (Bypass öffnen);20000;35000;1000;0;R/W;LU
5450;Temperatur Außenluft: Bypass Kühlung Ein (Bypass schliessen);20000;35000;1000;0;R/W;LU
5084;Temperatur Außenluft: Bypass öffnen;10000;20000;1000;0;R/W;LU
5086;Temperatur Außenluft: Bypass schließen;10000;20000;1000;0;R/W;LU
5206;Temperatur Außenluft: Frostschutz;-5000;0;100;1;R/W;LU
5090;Temperatur Außenluft: Frostschutz aus;-10000;5000;1000;0;R/W;LU
5088;Temperatur Außenluft: Frostschutz ein;-10000;5000;1000;0;R/W;LU
5200;Temperatur Außenluft: Kühlung aus;16000;22000;1000;0;R/W;LU
5198;Temperatur Außenluft: Kühlung ein;17000;23000;1000;0;R/W;LU
5422;Temperatur Außenluft: Reduktion Luftmenge 10%;-20000;0;100;1;R/W;LU
5424;Temperatur Außenluft: Reduktion Luftmenge 20%;-30000;-10000;100;1;R/W;LU
206;Temperatur Sole nach Außenluftvorwärmung;-28000;100000;100;1;R;LU
250;Temperatur Zuluft;-28000;100000;100;1;R;LU
5186;Temperaturschwelle Außenluft \\ Heizen / Kühlen;12000;22000;100;1;R/W;LU
7508;Time-Out: Solltemperatur Raum;0;1;1;0;R;LU
7506;Time-Out: Temperaturfühler Raum;0;1;1;0;R;LU
5212;Uhrzeit;0;235959;1;0;R/W;LU
5442;Uhrzeit und Datum verschicken;0;1;1;0;R;LU
1294;Vereisungsschutz;0;1;1;0;R;LU
5026;Volumenstrombalance Zuluft - Abluft;-10;30;1;0;R/W;LU
1264;Wassergehalt Abluft;0;20000;100;1;R;LU
5038;Zeitspanne Funktion PARTY;3600;14400;60;0;R/W;LU
5416;Zuluft-Solltemperatur Heizen;15000;50000;100;1;R/W;LU
5418;Zuluft-Solltemperatur Kühlen;15000;30000;100;1;R/W;LU
